2021-05-15 07:47:51,239 INFO    MainThread:2411 [wandb_setup.py:_flush():69] setting env: {}
2021-05-15 07:47:51,240 INFO    MainThread:2411 [wandb_setup.py:_flush():69] setting login settings: {}
2021-05-15 07:47:51,241 INFO    MainThread:2411 [wandb_init.py:_log_setup():336] Logging user logs to /content/drive/My Drive/LabCode/YOLOv5_Defect_Paper/YOLOv5_training/training_real_data/yolov5/wandb/run-20210515_074751-gwv5i927/logs/debug.log
2021-05-15 07:47:51,241 INFO    MainThread:2411 [wandb_init.py:_log_setup():337] Logging internal logs to /content/drive/My Drive/LabCode/YOLOv5_Defect_Paper/YOLOv5_training/training_real_data/yolov5/wandb/run-20210515_074751-gwv5i927/logs/debug-internal.log
2021-05-15 07:47:51,241 INFO    MainThread:2411 [wandb_init.py:init():369] calling init triggers
2021-05-15 07:47:51,242 INFO    MainThread:2411 [wandb_init.py:init():376] wandb.init called with sweep_config: {}
config: {'weights': 'yolov5m.pt', 'cfg': '', 'data': './data/RealData11x11.yaml', 'hyp': {'lr0': 0.01, 'lrf': 0.2, 'momentum': 0.937, 'weight_decay': 0.0005, 'warmup_epochs': 3.0, 'warmup_momentum': 0.8, 'warmup_bias_lr': 0.1, 'box': 0.05, 'cls': 0.5, 'cls_pw': 1.0, 'obj': 1.0, 'obj_pw': 1.0, 'iou_t': 0.2, 'anchor_t': 4.0, 'fl_gamma': 0.0, 'hsv_h': 0.015, 'hsv_s': 0.7, 'hsv_v': 0.4, 'degrees': 0.0, 'translate': 0.1, 'scale': 0.5, 'shear': 0.0, 'perspective': 0.0, 'flipud': 0.0, 'fliplr': 0.5, 'mosaic': 1.0, 'mixup': 0.0}, 'epochs': 500, 'batch_size': 16, 'img_size': [500, 500], 'rect': False, 'resume': False, 'nosave': False, 'notest': False, 'noautoanchor': False, 'evolve': False, 'bucket': '', 'cache_images': False, 'image_weights': False, 'device': '', 'multi_scale': False, 'single_cls': False, 'adam': False, 'sync_bn': False, 'local_rank': -1, 'workers': 8, 'project': 'runs/train', 'entity': None, 'name': 'exp', 'exist_ok': False, 'quad': False, 'linear_lr': False, 'label_smoothing': 0.0, 'upload_dataset': False, 'bbox_interval': -1, 'save_period': -1, 'artifact_alias': 'latest', 'world_size': 1, 'global_rank': -1, 'save_dir': 'runs/train/exp12', 'total_batch_size': 16}
2021-05-15 07:47:51,242 INFO    MainThread:2411 [wandb_init.py:init():418] starting backend
2021-05-15 07:47:51,242 INFO    MainThread:2411 [backend.py:_multiprocessing_setup():72] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2021-05-15 07:47:51,259 INFO    MainThread:2411 [backend.py:ensure_launched():132] starting backend process...
2021-05-15 07:47:51,270 INFO    MainThread:2411 [backend.py:ensure_launched():137] started backend process with pid: 2444
2021-05-15 07:47:51,277 INFO    MainThread:2411 [wandb_init.py:init():423] backend started and connected
2021-05-15 07:47:51,280 INFO    MainThread:2411 [wandb_init.py:init():465] updated telemetry
2021-05-15 07:47:51,285 INFO    MainThread:2411 [wandb_init.py:init():484] communicating current version
2021-05-15 07:47:52,051 INFO    MainThread:2411 [wandb_init.py:init():489] got version response 
2021-05-15 07:47:52,052 INFO    MainThread:2411 [wandb_init.py:init():497] communicating run to backend with 30 second timeout
2021-05-15 07:47:52,292 INFO    MainThread:2411 [wandb_init.py:init():522] starting run threads in backend
2021-05-15 07:47:53,955 INFO    MainThread:2411 [wandb_run.py:_console_start():1565] atexit reg
2021-05-15 07:47:53,957 INFO    MainThread:2411 [wandb_run.py:_redirect():1412] redirect: SettingsConsole.REDIRECT
2021-05-15 07:47:53,958 INFO    MainThread:2411 [wandb_run.py:_redirect():1417] Redirecting console.
2021-05-15 07:47:53,961 INFO    MainThread:2411 [wandb_run.py:_redirect():1479] Redirects installed.
2021-05-15 07:47:53,961 INFO    MainThread:2411 [wandb_init.py:init():546] run started, returning control to user process
2021-05-15 07:47:53,962 INFO    MainThread:2411 [wandb_config.py:__setitem__():141] config set opt = {'weights': 'yolov5m.pt', 'cfg': '', 'data': './data/RealData11x11.yaml', 'hyp': {'lr0': 0.01, 'lrf': 0.2, 'momentum': 0.937, 'weight_decay': 0.0005, 'warmup_epochs': 3.0, 'warmup_momentum': 0.8, 'warmup_bias_lr': 0.1, 'box': 0.05, 'cls': 0.5, 'cls_pw': 1.0, 'obj': 1.0, 'obj_pw': 1.0, 'iou_t': 0.2, 'anchor_t': 4.0, 'fl_gamma': 0.0, 'hsv_h': 0.015, 'hsv_s': 0.7, 'hsv_v': 0.4, 'degrees': 0.0, 'translate': 0.1, 'scale': 0.5, 'shear': 0.0, 'perspective': 0.0, 'flipud': 0.0, 'fliplr': 0.5, 'mosaic': 1.0, 'mixup': 0.0}, 'epochs': 500, 'batch_size': 16, 'img_size': [500, 500], 'rect': False, 'resume': False, 'nosave': False, 'notest': False, 'noautoanchor': False, 'evolve': False, 'bucket': '', 'cache_images': False, 'image_weights': False, 'device': '', 'multi_scale': False, 'single_cls': False, 'adam': False, 'sync_bn': False, 'local_rank': -1, 'workers': 8, 'project': 'runs/train', 'entity': None, 'name': 'exp', 'exist_ok': False, 'quad': False, 'linear_lr': False, 'label_smoothing': 0.0, 'upload_dataset': False, 'bbox_interval': -1, 'save_period': -1, 'artifact_alias': 'latest', 'world_size': 1, 'global_rank': -1, 'save_dir': 'runs/train/exp12', 'total_batch_size': 16} - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7fe9938a83d0>>
